hotel_name,hotel_address,hotel_city,hotel_state,hotel_zipcode,hotel_phone
motel6 LOS ANGELES - HACIENDA HEIGHTS,1154 S 7TH AVE,HACIENDA HEIGHTS,CA,91745,6269689462
motel6 SACRAMENTO - OLD SACRAMENTO NORTH,227 JIBBOOM ST,SACRAMENTO,CA,95814,9164410733
motel6 SACRAMENTO NORTH,5110 INTERSTATE AVE,SACRAMENTO,CA,95842,9163318100
motel6 SAN JOSE - CAMPBELL,1240 CAMDEN AVE,CAMPBELL,CA,95008,4083718870
motel6 PLEASANTON,5102 HOPYARD RD,PLEASANTON,CA,94588,9254632626
motel6 PHOENIX - BLACK CANYON,4130 N BLACK CANYON HWY,PHOENIX,AZ,85017,6022775501
motel6 LOS ANGELES - LONG BEACH,5665 E 7TH ST,LONG BEACH,CA,90804,5625971311
motel6 LOS ANGELES - NORWALK,10646 ROSECRANS AVE,NORWALK,CA,90650,5628642567
motel6 SCOTTSDALE SOUTH,1612 N SCOTTSDALE RD,TEMPE,AZ,85281,4809459506
motel6 VALLEJO - SIX FLAGS WEST,1455 ENTERPRISE ST,VALLEJO,CA,94589,7076437611
motel6 SACRAMENTO - RANCHO CORDOVA EAST,10694 OLSON DR,RANCHO CORDOVA,CA,95670,9166358784
motel6 SAN DIEGO - LA MESA,7621 ALVARADO RD,LA MESA,CA,91941,6194647151
motel6 LAS VEGAS - I-15,5085 S DEAN MARTIN DR,LAS VEGAS,NV,89118,7027396747
motel6 MODESTO,1920 W ORANGEBURG AVE,MODESTO,CA,95350,2095227271
motel6 BAKERSFIELD CONVENTION CENTER,1350 EASTON DR,BAKERSFIELD,CA,93309,6613271686
motel6 STOCKTON NORTH,6717 PLYMOUTH RD,STOCKTON,CA,95207,2099518120
motel6 FRESNO - BLACKSTONE SOUTH,4080 N BLACKSTONE AVE,FRESNO,CA,93726,5592222431
